מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תחום,מחוז תקשוב,,,,,,,,
112250- עשה חייל,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,ז,3,רגיל,24,1,מדעים,ירושלים,,,,,,,,
112516- מבוא חורון,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,ערן מרגלית,ז,1,רגיל,22,1,מדעים,ירושלים,,,,,,,,
"112953- אהבת ישראל (חרד""ל)",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,גיא רפאלוב,ז,1,רגיל,21,1,מדעים,העיר ירושלים,,,,,,,,
140053- אקדמיה למוסיקה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אילנה אוריצקי,ז,1,רגיל,21,1,מדעים,העיר ירושלים,,,,,,,,
140137- ישיבת נתיב מאיר,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,משה מאיר וייס,ז,1,רגיל,21,1,מדעים,העיר ירושלים,,,,,,,,
"140939- ישיבת בנ""ע מטה בנימין",מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,נסים ניצן ימין,ז,1,רגיל,34,1,מדעים,ירושלים,,,,,,,,
160598- ארץ הצבי,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,יוסף איזמן,ז,1,רגיל,24,1,מדעים,העיר ירושלים,,,,,,,,
"188086- דמוקרטי ע""ש נדב",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,טל כהן,מירב ניר הוד,ז,1,רגיל,34,1,מדעים,ירושלים,,,,,,,,
"198085- חט""ב ראס אל-עמוד",ירושלים,ממלכתי,העיר ירושלים,ערבי,רנה ח'לף,סאלח סאלח,ז,1,רגיל,25,1,מדעים,העיר ירושלים,,,,,,,,
347757- סאדברי ירושלים,ירושלים,ממלכתי,העיר ירושלים,יהודי,אסנת עוזיאל,שחר יצחק גרוסמן,ז,1,רגיל,8,1,מדעים,העיר ירושלים,,,,,,,,
"368084- בי""ס ע""י אלאספניול",ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,סאלי רפידי,ז,1,רגיל,18,1,מדעים,העיר ירושלים,,,,,,,,
611871- מבוא חורון בנות,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,אורה קראוז,ז,1,רגיל,20,1,מדעים,ירושלים,,,,,,,,
641522- על יסודי אדם,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,הילה מור,ז,1,רגיל,23,1,מדעים,העיר ירושלים,,,,,,,,
112151- מצפה יריחו,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,יוסף יהושע יחזק פלהימר,ז,1,רגיל,20,0,מדעים,ירושלים,,,,,,,,
113787- כוכב יעקב בנות,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,דן אפרים בירנבאום,ז,1,רגיל,15,0,מדעים,ירושלים,,,,,,,,
117002- אל-מוטראן,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,ריצ'רד זנאנירי,ז,1,רגיל,31,0,מדעים,העיר ירושלים,,,,,,,,
"117010- ביה""ס אל-פריר",ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,דאוד כסאברי,ז,1,רגיל,34,0,מדעים,העיר ירושלים,,,,,,,,
118125- טור מכין לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,כאלד ראשיד,ז,1,רגיל,22,0,מדעים,העיר ירושלים,,,,,,,,
118364- איברהמיה,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,נהאד נאסר,ז,1,רגיל,35,0,מדעים,העיר ירושלים,,,,,,,,
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,1,רגיל,40,0,מדעים,העיר ירושלים,,,,,,,,
143404- אהל שילה בנים,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,רפאל ממן,ז,1,רגיל,30,0,מדעים,ירושלים,,,,,,,,
144097- המרכז הישראלי למצוינות בחינוך,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נועה שפי,ז,1,רגיל,28,0,מדעים,העיר ירושלים,,,,,,,,
144626- תבל גבעה צרפתית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נחמה נשי נפתלי,ז,1,רגיל,28,0,מדעים,העיר ירושלים,,,,,,,,
148189- טרה סנטה גבשה בנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,איברהים פלתס,ז,1,רגיל,20,0,מדעים,העיר ירושלים,,,,,,,,
160739- מנזר רוזרי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,הודה קיקיה,ז,1,רגיל,40,0,מדעים,העיר ירושלים,,,,,,,,
168021- צור באהר בנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,הנאדי יעיש,ז,1,רגיל,20,0,מדעים,העיר ירושלים,,,,,,,,
178194- על יסודי אלחית כפר עקב,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,עיסא נאסר,ז,1,רגיל,42,0,מדעים,העיר ירושלים,,,,,,,,
184010- פריר בית חנינא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,גורג נבר,ז,2,רגיל,38,0,מדעים,העיר ירושלים,,,,,,,,
186395- ראשית,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,שרה אבישי,ז,1,רגיל,28,0,מדעים,ירושלים,,,,,,,,
187575- ביס שמידט קולג' בנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,דיתריש בוימר,ז,1,רגיל,10,0,מדעים,העיר ירושלים,,,,,,,,
238493- יסודי אלאימאן לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,השאם בצבוצ,ז,1,רגיל,20,0,מדעים,העיר ירושלים,,,,,,,,
238501- יסודי אלאימאן בנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מדלין חמורי,ז,1,רגיל,29,0,מדעים,העיר ירושלים,,,,,,,,
239905- ג'רוזלם סקול יסודי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מג'ד רביע,ז,1,רגיל,32,0,מדעים,העיר ירושלים,,,,,,,,
247411- תיכון סנט טרקמנצ'ץ,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,נארק אברהמיאן,ז,1,רגיל,8,0,מדעים,העיר ירושלים,,,,,,,,
267930- אלמוסתקבל אלאהלייה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,ענאיה אבו סנינה,ז,1,רגיל,29,0,מדעים,העיר ירושלים,,,,,,,,
"267955- ביה""ס אמליסון",ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,וסים עלי,ז,1,רגיל,22,0,מדעים,העיר ירושלים,,,,,,,,
338343- יסודי דאר אלאולאד,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,אוסאמה מושעשע,ז,1,רגיל,22,0,מדעים,העיר ירושלים,,,,,,,,
338434- ברידג' אינטרנשיונל,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,שירין שחאדה,ז,1,רגיל,16,0,מדעים,העיר ירושלים,,,,,,,,
338483- אבו חאמד אלגזאלי,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,שירין אבראהים,ז,1,רגיל,26,0,מדעים,העיר ירושלים,,,,,,,,
338533- שדא אלוורד,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,סרין סאפי,ז,1,רגיל,16,0,מדעים,העיר ירושלים,,,,,,,,
343970- על יסודי מאר מטרי,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,ארגס עאסי,ז,1,רגיל,14,0,מדעים,העיר ירושלים,,,,,,,,
412676- דאר אל חכמה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,אברהים דוויק,ז,1,רגיל,19,0,מדעים,העיר ירושלים,,,,,,,,
430074- מקור התקווה,ירושלים,ממלכתי,העיר ירושלים,יהודי,שמחה שגית קליימן,יואל רוסו,ז,1,רגיל,9,0,מדעים,העיר ירושלים,,,,,,,,
430355- בית ספר יסודי אלפגר אלגדיד,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,זינב הנדי,ז,1,רגיל,27,0,מדעים,העיר ירושלים,,,,,,,,
430363- גיל אלמוסתקבל,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,ליאלי גומעה,ז,1,רגיל,21,0,מדעים,העיר ירושלים,,,,,,,,
430439- בית ספר רואא,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מנאר עאבדין,ז,1,רגיל,21,0,מדעים,העיר ירושלים,,,,,,,,
440412- תיכון מקיף אלראזי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,אלאא אלעדרה,ז,1,רגיל,45,0,מדעים,העיר ירושלים,,,,,,,,
440685- בית שכונת זגיר,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,רבא ארנאוט,ז,1,רגיל,36,0,מדעים,העיר ירושלים,,,,,,,,
440693- אלראזי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,באסם דוויק,ז,1,רגיל,33,0,מדעים,העיר ירושלים,,,,,,,,
478909- בית ספר יסודי נור אל,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,נדאא אבו כף,ז,1,רגיל,20,0,מדעים,העיר ירושלים,,,,,,,,
"499897- בי""ס אשרקאת אלג'ד",ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מאגדה אבראהים חדר,ז,1,רגיל,36,0,מדעים,העיר ירושלים,,,,,,,,
511618- נווה הראל,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,צפורה זקש,ז,41,רגיל,23,0,מדעים,ירושלים,,,,,,,,
"511808- בי""ס יסודי מדל איסט",ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,ולאא אמבייד,ז,1,רגיל,19,0,מדעים,העיר ירושלים,,,,,,,,
512343- יסודי אלמסתקבל שועפט,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,נג'את עמורה,ז,1,רגיל,31,0,מדעים,העיר ירושלים,,,,,,,,
522441- אלפקיה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,רובא מומני,ז,1,רגיל,28,0,מדעים,העיר ירושלים,,,,,,,,
"615955- אח""י תקוע 2",גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,יהונתן אהוביה רוזנק,ז,1,רגיל,23,0,מדעים,ירושלים,,,,,,,,
"615971- חב""ד בנות",בית שמש,ממלכתי דתי,ירושלים,יהודי,מרים ויצמן,חנה אריה,ז,1,רגיל,26,0,מדעים,ירושלים,,,,,,,,
645986- בית הספר האמריקאי יר,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,אליזבט רייצ'ל אלבום,ז,1,רגיל,14,0,מדעים,העיר ירושלים,,,,,,,,
674564- ב''ס עהדונא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,פרידה זגייר,ז,1,רגיל,58,0,מדעים,העיר ירושלים,,,,,,,,
676619- רוואד הטכנולוגי,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,מונה נאבולסי,ז,1,רגיל,31,0,מדעים,העיר ירושלים,,,,,,,,
"678433- ב""ס אלחסאד",ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,אשרף מגאהד,ז,1,רגיל,34,0,מדעים,העיר ירושלים,,,,,,,,
682351- מסע,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,-,ז,1,רגיל,29,0,מדעים,העיר ירושלים,,,,,,,,
718924- זו אלנוריין,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,עבדלנאצר סלים,ז,1,רגיל,28,0,מדעים,העיר ירושלים,,,,,,,,
722298- בית ספר יחיאל,מטה יהודה,ממלכתי,ירושלים,יהודי,ליאת אלהרר כהן,יוסף סופר,ז,1,רגיל,19,0,מדעים,ירושלים,,,,,,,,
725309- בית ספר אלעמליה אלנמ,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מנאל גולאני,ז,1,רגיל,38,0,מדעים,העיר ירושלים,,,,,,,,
729145- בית ספר דאר אלהודה אלנמודג'יה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,חמזה קיסי,ז,1,רגיל,29,0,מדעים,העיר ירושלים,,,,,,,,
733527- סאדברי-עמק האלה,מטה יהודה,ממלכתי,ירושלים,יהודי,ליאת אלהרר כהן,סיגל שיבובסקי,ז,1,רגיל,4,0,מדעים,ירושלים,,,,,,,,
746313- בית ספר עהדונא,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,-,ז,1,רגיל,22,0,מדעים,העיר ירושלים,,,,,,,,
746529- בית ספר יסודי אלפארו,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,גאדה בשיתי,ז,1,רגיל,26,0,מדעים,העיר ירושלים,,,,,,,,
"746735- בי""ס אלמטאר",ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,גמאל ג'בארין,ז,1,רגיל,33,0,מדעים,העיר ירושלים,,,,,,,,
"747345- בי""ס אלמוסתקבל",ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,מלכה אבו עומר,ז,1,רגיל,32,0,מדעים,העיר ירושלים,,,,,,,,
747360- בית ספר יסודי אלסלאם,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,סלאח יונס,ז,1,רגיל,21,0,מדעים,העיר ירושלים,,,,,,,,
747402- דאוחת אלאבדאע,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,מואייד אלעוקבי,ז,1,רגיל,33,0,מדעים,העיר ירושלים,,,,,,,,
754721- דאר אל חכמה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,רים תמימי,ז,1,רגיל,22,0,מדעים,העיר ירושלים,,,,,,,,
757583- בית ספר סמירא מיס,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,ראנייה גועבה,ז,1,רגיל,23,0,מדעים,העיר ירושלים,,,,,,,,
758227- יסודי אלאימאן בנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מואיד נאצר,ז,1,רגיל,28,0,מדעים,העיר ירושלים,,,,,,,,
759134- סדנת שילוב יובלים,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,ימימה ספרא,ז,1,רגיל,6,0,מדעים,ירושלים,,,,,,,,
112151- מצפה יריחו,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,יוסף יהושע יחזק פלהימר,ז,1,רגיל,20,1,מתמטיקה,ירושלים,,,,,,,,
"112953- אהבת ישראל (חרד""ל)",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,גיא רפאלוב,ז,1,רגיל,21,1,מתמטיקה,העיר ירושלים,,,,,,,,
114173- אורות עציון בנים,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,משה גוטליב,ז,34,רגיל,31,1,מתמטיקה,ירושלים,,,,,,,,
118042- אום טובא,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,וליד אבו טיר,ז,2,רגיל,27,1,מתמטיקה,העיר ירושלים,,,,,,,,
118158- איבן אל-היית'ם,ירושלים,ממלכתי,העיר ירושלים,ערבי,רנה ח'לף,אסאמה סביטאני,ז,2,רגיל,27,1,מתמטיקה,העיר ירושלים,,,,,,,,
118281- שעפט לבנות א,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,סוזאן כטיב,ז,3,רגיל,24,1,מתמטיקה,העיר ירושלים,,,,,,,,
118299- אלתורי לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מהא סלמן,ז,3,רגיל,28,1,מתמטיקה,העיר ירושלים,,,,,,,,
140079- הגמנסיה העברית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עופר טס,ז,2,רגיל,30,1,מתמטיקה,העיר ירושלים,,,,,,,,
140129- קרית נוער ירושלים,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,אביחי חרזי,ז,3,רגיל,26,1,מתמטיקה,העיר ירושלים,,,,,,,,
140145- ישיבת חורב,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,יצחק דור,ז,2,רגיל,31,1,מתמטיקה,העיר ירושלים,,,,,,,,
140236- תורני נסויי בנות פלך,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,יעל-סופי פפר,ז,1,רגיל,33,1,מתמטיקה,העיר ירושלים,,,,,,,,
140806- תיכון לאומנויות,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תומר בליטי דגן,ז,3,רגיל,27,1,מתמטיקה,העיר ירושלים,,,,,,,,
"140939- ישיבת בנ""ע מטה בנימין",מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,נסים ניצן ימין,ז,3,רגיל,27,1,מתמטיקה,ירושלים,,,,,,,,
